PID,GROUP,DURATION,PRE_K1,PRE_K2,PRE_C1,PRE_C2,PRE_C3,PRE_C4,PRE_C5,PRE_X1,PRE_M1,PRE_M2,PRE_M3,PRE_HT_H4,PRE_HT_H6,PRE_HT_H2,PRE_HT_H3,PRE_HT_H1,PRE_HE_H3,PRE_HE_H5,PRE_HE_H7,PRE_HE_H2,PRE_HE_H1,PRE_HH_H8,PRE_HH_H1,PRE_HH_H4,PRE_HH_H2,PRE_HH_H3,PRE_HG_H2,PRE_HG_H5,PRE_HG_H4,PRE_HG_H3,PRE_HG_H1,FIRST_CLICK,LAST_CLICK,SUBMIT,POST_K1,POST_K2,POST_C1,POST_C2,POST_C3,POST_C4,POST_C5,POST_X1,POST_M1,POST_M2,POST_M3,COMMITMENT,POST_HT_H4,POST_HT_H6,POST_HT_H2,POST_HT_H3,POST_HT_H1,POST_HE_H3,POST_HE_H5,POST_HE_H7,POST_HE_H2,POST_HE_H1,POST_HH_H8,POST_HH_H1,POST_HH_H4,POST_HH_H2,POST_HH_H3,POST_HG_H2,POST_HG_H5,POST_HG_H4,POST_HG_H3,POST_HG_H1,V1,V2,V5,V3,V4,ACCESS,COMMENTS
2d5c1ed5-6c5b-f111-8fcb-0022486d65a5,CONTROL_E,276,Basic knowledge,Basic knowledge,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,,,,,,Probably false,Probably true,Definitely true,Probably false,Definitely false,,,,,,,,,,,4.235,4.235,36.787,Basic knowledge,Basic knowledge,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,within the year,,,,,,Probably false,Probably true,Definitely true,Probably false,Definitely false,,,,,,,,,,,Satisfied,Satisfied,Extremely,,,No,
c9cba06e-6c5b-f111-8fcb-0022486d65a5,CONTROL_E,1088,Intermediate knowledge,Intermediate knowledge,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,,,,,,Definitely true,Probably true,Definitely true,Probably true,Probably true,,,,,,,,,,,7.009,7.009,261.674,Intermediate knowledge,Intermediate knowledge,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,within the year,,,,,,Definitely true,Probably true,Definitely true,Probably false,Neither true nor false,,,,,,,,,,,Satisfied,Very satisfied,Moderately,,,Yes,the info graphic was a bit too full of info in one place.
1ccda06e-6c5b-f111-8fcb-0022486d65a5,CONTROL_E,1247,Little to no knowledge,Little to no knowledge,Agree,Agree,Agree,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,,,,,,Probably true,Neither true nor false,Definitely true,Probably true,Probably true,,,,,,,,,,,31.283,31.283,329.03,Basic knowledge,Basic knowledge,Agree,Agree,Agree,Neutral,Neutral,I don't know,Agree,Neutral,Neutral,I am not interested in learning AI,,,,,,I don't know,Neither true nor false,Definitely true,Probably true,Probably true,,,,,,,,,,,Satisfied,Satisfied,Moderately,,,No,
3a57a062-6c5b-f111-8fcb-0022486d65a5,CONTROL_E,308,Advanced knowledge,Advanced knowledge,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,,,,,,Probably true,Definitely false,Definitely true,Definitely false,Probably false,,,,,,,,,,,2.489,105.941,121.163,Advanced knowledge,Advanced knowledge,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,within this week,,,,,,Probably true,Probably false,Definitely true,Definitely false,Probably false,,,,,,,,,,,Satisfied,Satisfied,Slightly,,,No,
1049a068-6c5b-f111-8fcb-0022486d65a5,CONTROL_E,334,Intermediate knowledge,Advanced knowledge,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,,,,,,Probably true,Definitely true,Probably true,Neither true nor false,Probably true,,,,,,,,,,,1.53,1.53,215.252,Intermediate knowledge,Advanced knowledge,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,I am already learning AI,,,,,,Probably true,Neither true nor false,Definitely true,Probably true,Neither true nor false,,,,,,,,,,,Satisfied,Neutral,Very,,,No,i don't know
f84b13bd-fe5d-f111-8fcb-0022486d65a5,CONTROL_E,975,Basic knowledge,Advanced knowledge,Strongly Agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,,,,,,26.654,26.654,164.551,Basic knowledge,Intermediate knowledge,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,I am already learning AI,,,,,,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,,,,,,Very satisfied,Very satisfied,Extremely,,,Yes,NONE
254d13bd-fe5d-f111-8fcb-0022486d65a5,CONTROL_E,427,Basic knowledge,Basic knowledge,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,,,,,,Neither true nor false,Neither true nor false,Neither true nor false,Probably false,Neither true nor false,,,,,,,,,,,6.838,51.256,124.864,Basic knowledge,Basic knowledge,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,within the next few months,,,,,,Neither true nor false,Probably false,Neither true nor false,Neither true nor false,Neither true nor false,,,,,,,,,,,Neutral,Neutral,Moderately,,,No,
694c13bd-fe5d-f111-8fcb-0022486d65a5,CONTROL_E,1321,Basic knowledge,Basic knowledge,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,,,,,,Probably true,Probably true,Probably true,Probably true,Probably true,,,,,,,,,,,0,0,300.123,Basic knowledge,Basic knowledge,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,I am already learning AI,,,,,,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,,,,,,,,,,,Satisfied,Satisfied,Not at all,,,Yes,
76364c0a-ff5d-f111-8fcb-0022486d65a5,CONTROL_E,441,Basic knowledge,Intermediate knowledge,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,,,,,,Probably true,Probably true,Definitely true,Probably false,Probably false,,,,,,,,,,,8.831,8.831,121.3,Basic knowledge,Basic knowledge,Disagree,Strongly disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,within the next few months,,,,,,Probably true,Probably false,Definitely true,Probably false,Definitely false,,,,,,,,,,,Satisfied,Satisfied,Slightly,,,No,
bbdf4004-ff5d-f111-8fcb-0022486d65a5,CONTROL_E,658,Expert knowledge,Expert knowledge,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,Definitely true,Definitely false,Definitely true,Definitely true,Definitely false,,,,,,,,,,,1.233,18.263,152.871,Advanced knowledge,Advanced knowledge,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,within the year,,,,,,Definitely true,Definitely false,Definitely true,Definitely true,Definitely false,,,,,,,,,,,Neutral,Neutral,Very,,,No,
